Unnamed: 0,statename,month,year,routed,answered_in_state,abandoned_in_state,asa_in_state,in_state_answer_rate,month_year,AvgTalkTime,suicide_deaths
1032,IA,3,2022,1469,1038,363,47S,0.71,Mar-22,10.76666667,2805
1033,ID,3,2022,963,727,170,32S,0.75,Mar-22,15.66666667,1390
1034,IL,3,2022,7740,1675,2090,24S,0.22,Mar-22,12.21666667,9761
1035,IN,3,2022,2979,2329,248,18S,0.78,Mar-22,13.86666667,6111
1036,KS,3,2022,1404,1151,190,22S,0.82,Mar-22,15.76666667,2670
1037,KY,3,2022,1946,1319,422,30S,0.68,Mar-22,13.9,4852
1038,LA,3,2022,2462,1655,493,28S,0.67,Mar-22,14.96666667,4361
1039,MA,3,2022,4300,2931,1157,57S,0.68,Mar-22,9.65,5079
1040,MD,3,2022,3283,2649,627,41S,0.81,Mar-22,12.21666667,4653
1041,ME,3,2022,466,306,155,43S,0.66,Mar-22,9.5,1443
1042,MI,3,2022,5445,2894,1375,46S,0.53,Mar-22,11.05,9033
1043,MN,3,2022,2672,2338,312,50S,0.88,Mar-22,14.66666667,4171
1044,MO,3,2022,2878,2421,413,34S,0.84,Mar-22,14.81666667,5830
1045,MS,3,2022,997,896,95,20S,0.9,Mar-22,8.816666667,3106
1046,MT,3,2022,681,658,21,13S,0.97,Mar-22,12.33333333,1002
1047,NC,3,2022,4725,4243,382,22S,0.9,Mar-22,8.466666667,9150
1048,ND,3,2022,316,294,18,16S,0.93,Mar-22,11.6,588
1049,NE,3,2022,984,831,123,31S,0.84,Mar-22,13.5,1523
1050,NH,3,2022,695,546,82,21S,0.79,Mar-22,11.46666667,1201
1051,NJ,3,2022,3905,3029,658,37S,0.78,Mar-22,14.53333333,6523
1052,NM,3,2022,1463,1036,378,1M 3S,0.71,Mar-22,16.16666667,1994
1053,NV,3,2022,1712,1302,300,42S,0.76,Mar-22,17.01666667,2577
1054,NY,3,2022,12070,7716,2170,35S,0.64,Mar-22,15.88333333,13823
1055,OH,3,2022,5374,3133,815,19S,0.58,Mar-22,11.68333333,11231
1056,OK,3,2022,1615,1237,302,42S,0.77,Mar-22,13.16666667,4076
1057,OR,3,2022,3239,2527,476,35S,0.78,Mar-22,18.91666667,3615
1058,PA,3,2022,4823,4131,594,32S,0.86,Mar-22,11.66666667,12044
1059,RI,3,2022,301,299,1,8S,0.99,Mar-22,10.75,875
1060,SC,3,2022,2905,2240,514,28S,0.77,Mar-22,14.7,4876
1061,SD,3,2022,261,218,39,24S,0.84,Mar-22,17.48333333,731
1062,TN,3,2022,3158,2636,510,23S,0.83,Mar-22,9.033333333,7087
1063,TX,3,2022,12489,5544,2791,26S,0.44,Mar-22,14.16666667,20072
1064,UT,3,2022,2199,1743,248,24S,0.79,Mar-22,15.48333333,1852
1065,VA,3,2022,4289,3553,684,44S,0.83,Mar-22,12,6785
