Unnamed: 0,statename,month,year,routed,answered_in_state,abandoned_in_state,asa_in_state,in_state_answer_rate,month_year,AvgTalkTime,suicide_deaths
1549,MA,10,2022,5861,4686,1078,34S,0.8,Oct-22,10.66666667,5391
1550,MD,10,2022,3731,3310,410,31S,0.89,Oct-22,13.9,4644
1551,ME,10,2022,632,527,75,31S,0.83,Oct-22,10.58333333,1509
1552,MI,10,2022,5888,4593,649,28S,0.78,Oct-22,11.03333333,9071
1553,MN,10,2022,3424,2958,373,34S,0.86,Oct-22,14.3,4253
1554,MO,10,2022,4213,3690,439,27S,0.88,Oct-22,14.06666667,5691
1555,MS,10,2022,1287,1204,74,11S,0.94,Oct-22,7.666666667,3072
1556,MT,10,2022,743,704,38,13S,0.95,Oct-22,12.93333333,949
1557,NC,10,2022,5393,4162,547,19S,0.77,Oct-22,11.23333333,9218
1558,ND,10,2022,427,383,15,9S,0.9,Oct-22,11.38333333,596
1559,NE,10,2022,1827,1577,158,35S,0.86,Oct-22,11,1582
1560,NH,10,2022,970,838,132,32S,0.86,Oct-22,18.43333333,1228
1561,NJ,10,2022,4817,3755,605,27S,0.78,Oct-22,13.66666667,6587
1562,NM,10,2022,1845,1434,267,30S,0.78,Oct-22,17.03333333,1812
1563,NV,10,2022,2480,1713,340,24S,0.69,Oct-22,18.85,2361
1564,NY,10,2022,15298,11371,1653,25S,0.74,Oct-22,14.11666667,14330
1565,OH,10,2022,6433,5653,507,16S,0.88,Oct-22,12.5,11176
1566,OK,10,2022,2707,2472,191,20S,0.91,Oct-22,11.83333333,3705
1567,OR,10,2022,4110,3528,286,26S,0.86,Oct-22,17.53333333,3620
1568,PA,10,2022,5852,4813,700,27S,0.82,Oct-22,12.08333333,12271
1569,RI,10,2022,448,436,2,2S,0.97,Oct-22,15.48333333,929
1570,SC,10,2022,2969,1934,379,21S,0.65,Oct-22,14.98333333,5081
1571,SD,10,2022,461,416,32,13S,0.9,Oct-22,16.98333333,764
1572,TN,10,2022,3371,2597,713,30S,0.77,Oct-22,10.5,6741
1573,TX,10,2022,14325,8485,1402,21S,0.59,Oct-22,12.86666667,19017
1574,UT,10,2022,3293,2426,668,15S,0.74,Oct-22,15.96666667,1740
1575,VA,10,2022,5791,5310,461,20S,0.92,Oct-22,12.8,6765
1576,VT,10,2022,720,605,43,16S,0.84,Oct-22,15.38333333,587
1577,WA,10,2022,5935,5255,415,22S,0.89,Oct-22,12.51666667,5409
1578,WI,10,2022,6150,4852,539,21S,0.79,Oct-22,13.88333333,5101
1579,WV,10,2022,960,845,47,16S,0.88,Oct-22,19.11666667,2143
1580,WY,10,2022,431,355,46,8S,0.82,Oct-22,11.43333333,449
1581,AK,10,2023,1093,700,136,23S,0.64,Oct-23,16.7,477
1582,AL,10,2023,2749,1960,466,32S,0.71,Oct-23,12.18333333,4755
1583,AR,10,2023,1767,1036,377,23S,0.59,Oct-23,14.23333333,3052
1584,AZ,10,2023,7365,6528,701,19S,0.89,Oct-23,11.71666667,5645
1585,CA,10,2023,30957,26969,3717,35S,0.87,Oct-23,12.86666667,23865
1586,CO,10,2023,8297,7152,766,14S,0.86,Oct-23,14.56666667,3863
1587,CT,10,2023,3715,3288,321,15S,0.89,Oct-23,11.8,2831
1588,DC,10,2023,957,682,144,25S,0.71,Oct-23,11.76666667,419
1589,DE,10,2023,412,297,45,20S,0.72,Oct-23,9.516666667,897
1590,FL,10,2023,12085,9287,1875,35S,0.77,Oct-23,15.68333333,18937
1591,GA,10,2023,6560,5638,759,21S,0.86,Oct-23,11.68333333,7933
1592,HI,10,2023,1947,1656,228,15S,0.85,Oct-23,7.383333333,1012
1593,IA,10,2023,2118,1780,294,38S,0.84,Oct-23,13.26666667,2681
1594,ID,10,2023,1291,1095,103,21S,0.85,Oct-23,16.05,1431
1595,IL,10,2023,13203,10451,1428,31S,0.79,Oct-23,21.66666667,9372
1596,IN,10,2023,4745,4339,357,19S,0.91,Oct-23,19.13333333,5887
1597,KS,10,2023,2148,1931,188,22S,0.9,Oct-23,15,2405
1598,KY,10,2023,2891,2355,410,20S,0.81,Oct-23,12.28333333,4464
1599,LA,10,2023,2833,2461,339,24S,0.87,Oct-23,14.96666667,4105
1600,MA,10,2023,6746,5956,727,32S,0.88,Oct-23,10.1,5176
1601,MD,10,2023,5273,4511,684,32S,0.86,Oct-23,15.11666667,4663
1602,ME,10,2023,941,811,89,21S,0.86,Oct-23,11.16666667,1427
1603,MI,10,2023,8252,7301,809,19S,0.88,Oct-23,11.93333333,8661
1604,MN,10,2023,4298,3863,328,21S,0.9,Oct-23,14.35,4211
1605,MO,10,2023,5311,4972,316,14S,0.94,Oct-23,13.71666667,5669
1606,MS,10,2023,1162,1125,31,1S,0.97,Oct-23,7.7,2930
1607,MT,10,2023,842,812,26,9S,0.96,Oct-23,13.61666667,985
1608,NC,10,2023,6755,5872,704,17S,0.87,Oct-23,13.28333333,9006
1609,ND,10,2023,618,562,31,9S,0.91,Oct-23,8.95,558
1610,NE,10,2023,1793,1583,146,20S,0.88,Oct-23,16.73333333,1511
1611,NH,10,2023,1126,901,151,26S,0.8,Oct-23,12.16666667,1233
1612,NJ,10,2023,6241,4962,838,28S,0.8,Oct-23,13.86666667,6484
1613,NM,10,2023,2632,2267,247,19S,0.86,Oct-23,14.53333333,1852
1614,NV,10,2023,3696,2669,443,23S,0.72,Oct-23,16.53333333,2237
1615,NY,10,2023,30798,26572,2850,30S,0.86,Oct-23,16.3,14054
1616,OH,10,2023,7429,6640,746,28S,0.89,Oct-23,14.16666667,10921
1617,OK,10,2023,4818,4357,395,19S,0.9,Oct-23,12.15,3660
1618,OR,10,2023,4738,3686,498,29S,0.78,Oct-23,16.3,3708
1619,PA,10,2023,7561,6696,639,21S,0.89,Oct-23,12.65,11789
1620,RI,10,2023,705,695,4,1S,0.99,Oct-23,13.4,931
1621,SC,10,2023,3314,2409,420,30S,0.73,Oct-23,15.91666667,4755
1622,SD,10,2023,850,724,74,14S,0.85,Oct-23,17.45,762
1623,TN,10,2023,3955,3477,452,26S,0.88,Oct-23,11.56666667,6535
1624,TX,10,2023,16008,13833,1979,30S,0.86,Oct-23,14.58333333,18675
1625,UT,10,2023,2934,2687,158,14S,0.92,Oct-23,15.46666667,1870
1626,VA,10,2023,6428,5853,554,22S,0.91,Oct-23,12.86666667,6512
1627,VT,10,2023,723,647,41,12S,0.89,Oct-23,16.61666667,546
1628,WA,10,2023,6993,6364,526,23S,0.91,Oct-23,11.85,5536
1629,WI,10,2023,7179,5420,628,25S,0.75,Oct-23,15.41666667,4838
1630,WV,10,2023,1505,1364,74,15S,0.91,Oct-23,16.96666667,1989
1631,WY,10,2023,464,446,11,7S,0.96,Oct-23,14.61666667,444
1632,AK,9,2021,644,436,154,30S,0.68,Sep-21,14.63333333,635
1633,AL,9,2021,2363,1492,698,54S,0.63,Sep-21,11.55,6908
1634,AR,9,2021,1335,951,328,39S,0.71,Sep-21,11.55,3580
1635,AZ,9,2021,3688,3367,254,17S,0.91,Sep-21,9.316666667,6863
1636,CA,9,2021,24288,20565,3549,41S,0.85,Sep-21,12.9,27246
1637,CO,9,2021,4095,2398,1060,59S,0.59,Sep-21,15.53333333,4060
1638,CT,9,2021,1617,951,433,1M 1S,0.59,Sep-21,13.03333333,2731
1639,DC,9,2021,583,532,34,17S,0.91,Sep-21,7.7,480
1640,DE,9,2021,401,282,85,26S,0.7,Sep-21,9.766666667,960
1641,FL,9,2021,8691,6741,1636,42S,0.78,Sep-21,11.66666667,26914
1642,GA,9,2021,4731,2955,1255,27S,0.62,Sep-21,16.33333333,11868
1643,HI,9,2021,860,754,67,15S,0.88,Sep-21,10.4,1273
1644,IA,9,2021,1418,942,381,57S,0.66,Sep-21,12.18333333,3036
1645,ID,9,2021,1035,827,104,17S,0.8,Sep-21,16.4,1976
1646,IL,9,2021,7461,1180,2176,32S,0.16,Sep-21,14.45,10365
1647,IN,9,2021,3048,2015,718,19S,0.66,Sep-21,14.43333333,7123
1648,KS,9,2021,1626,1286,174,18S,0.79,Sep-21,15.46666667,2873
1649,KY,9,2021,1921,1534,267,23S,0.8,Sep-21,14.23333333,6120
1650,LA,9,2021,2303,83,668,50S,0.04,Sep-21,17.91666667,5553
1651,MA,9,2021,4152,2633,1152,1M 8S,0.63,Sep-21,9.583333333,4955
1652,MD,9,2021,3122,2577,540,51S,0.83,Sep-21,13.75,4765
1653,ME,9,2021,442,362,80,43S,0.82,Sep-21,9.983333333,1436
1654,MI,9,2021,5457,3433,1308,45S,0.63,Sep-21,11.51666667,9145
1655,MN,9,2021,2730,1332,729,39S,0.49,Sep-21,16.35,4233
1656,MO,9,2021,2986,2194,681,50S,0.73,Sep-21,15,6399
1657,MS,9,2021,1136,1019,90,18S,0.9,Sep-21,8.316666667,3972
1658,MT,9,2021,530,464,59,30S,0.88,Sep-21,11.88333333,1237
1659,NC,9,2021,4880,3003,788,21S,0.62,Sep-21,6.683333333,11119
1660,ND,9,2021,329,281,26,30S,0.85,Sep-21,12.35,656
1661,NE,9,2021,1132,781,244,35S,0.69,Sep-21,12.01666667,1603
1662,NH,9,2021,584,429,71,21S,0.73,Sep-21,10.53333333,1128
1663,NJ,9,2021,3875,2972,716,42S,0.77,Sep-21,13.01666667,6546
1664,NM,9,2021,1647,1256,322,1M 1S,0.76,Sep-21,16.85,2126
1665,NV,9,2021,1737,1091,486,49S,0.63,Sep-21,13.68333333,2925
1666,NY,9,2021,11843,7517,2220,34S,0.63,Sep-21,15.86666667,14071
1667,OH,9,2021,5182,3330,680,19S,0.64,Sep-21,10.8,12961
1668,OK,9,2021,1876,1350,433,47S,0.72,Sep-21,14.06666667,4922
1669,OR,9,2021,3296,2390,641,38S,0.73,Sep-21,17.81666667,4278
1670,PA,9,2021,5082,4248,711,32S,0.84,Sep-21,12.03333333,12531
1671,RI,9,2021,377,368,8,7S,0.98,Sep-21,8.7,870
1672,SC,9,2021,2586,1738,516,31S,0.67,Sep-21,14.48333333,6575
1673,SD,9,2021,337,287,43,29S,0.85,Sep-21,17.06666667,831
1674,TN,9,2021,2928,2196,579,29S,0.75,Sep-21,9.233333333,9663
1675,TX,9,2021,14206,5301,3456,26S,0.37,Sep-21,12.98333333,26978
1676,UT,9,2021,2245,1350,446,30S,0.6,Sep-21,17.85,2021
1677,VA,9,2021,4590,3214,1138,1M 10S,0.7,Sep-21,11.46666667,7416
1678,VT,9,2021,289,244,27,22S,0.84,Sep-21,14.23333333,651
1679,WA,9,2021,4151,3065,783,33S,0.74,Sep-21,10.73333333,6441
1680,WI,9,2021,3501,3256,225,22S,0.93,Sep-21,14.63333333,5265
1681,WV,9,2021,975,866,103,33S,0.89,Sep-21,12.46666667,2920
1682,WY,9,2021,232,103,47,15S,0.44,Sep-21,12.96666667,627
1683,AK,9,2022,689,499,88,26S,0.74,Sep-22,12.51666667,454
1684,AL,9,2022,2677,1831,464,43S,0.72,Sep-22,12.06666667,4814
1685,AR,9,2022,1457,1019,205,26S,0.72,Sep-22,10.58333333,2968
1686,AZ,9,2022,5050,4168,319,20S,0.91,Sep-22,13.46666667,5507
1687,CA,9,2022,29582,24960,3088,40S,0.87,Sep-22,11.45,24211
1688,CO,9,2022,4749,3628,367,19S,0.79,Sep-22,13.38333333,3585
1689,CT,9,2022,2353,2143,121,21S,0.92,Sep-22,11.38333333,2531
1690,DC,9,2022,824,743,24,14S,0.92,Sep-22,9.2,434
1691,DE,9,2022,367,274,27,22S,0.79,Sep-22,6.9,845
1692,FL,9,2022,11348,5936,1788,43S,0.55,Sep-22,12.13333333,18808
1693,GA,9,2022,6830,5548,574,17S,0.85,Sep-22,12.06666667,7989
1694,HI,9,2022,1742,1177,126,22S,0.72,Sep-22,5.666666667,1063
1695,IA,9,2022,1776,1602,66,20S,0.94,Sep-22,9.866666667,2659
1696,ID,9,2022,1175,928,113,27S,0.82,Sep-22,12.8,1289
1697,IL,9,2022,12272,9765,1018,29S,0.82,Sep-22,16.68333333,9295
1698,IN,9,2022,3570,2992,193,18S,0.86,Sep-22,12.35,5746
1699,KS,9,2022,1963,1686,157,23S,0.89,Sep-22,14.53333333,2380
1700,KY,9,2022,2445,1891,202,25S,0.8,Sep-22,11.85,4246
1701,LA,9,2022,2591,2060,322,29S,0.85,Sep-22,13.98333333,3938
1702,MA,9,2022,4995,3885,771,34S,0.8,Sep-22,10.98333333,4817
1703,MD,9,2022,4056,3469,436,31S,0.88,Sep-22,13.06666667,4268
1704,ME,9,2022,936,752,101,23S,0.84,Sep-22,9.066666667,1423
1705,MI,9,2022,6832,5246,710,27S,0.8,Sep-22,11.08333333,8512
1706,MN,9,2022,3574,3078,264,34S,0.9,Sep-22,13.56666667,4046
1707,MO,9,2022,4359,3876,292,31S,0.91,Sep-22,13.33333333,5424
1708,MS,9,2022,1442,1223,93,17S,0.91,Sep-22,6.816666667,2846
1709,MT,9,2022,702,674,15,13S,0.98,Sep-22,13.2,950
1710,NC,9,2022,5601,4494,457,21S,0.83,Sep-22,9.716666667,8855
1711,ND,9,2022,394,358,6,14S,0.93,Sep-22,10.56666667,567
1712,NE,9,2022,1493,1285,101,24S,0.88,Sep-22,14.35,1426
1713,NH,9,2022,1035,851,127,34S,0.86,Sep-22,17.83333333,1106
1714,NJ,9,2022,4993,3912,442,28S,0.81,Sep-22,12.38333333,6169
1715,NM,9,2022,2505,2043,247,28S,0.85,Sep-22,15.26666667,1766
1716,NV,9,2022,2445,1731,227,25S,0.75,Sep-22,16.26666667,2300
1717,NY,9,2022,16535,12541,1505,25S,0.78,Sep-22,12.6,13070
1718,OH,9,2022,6855,5683,442,18S,0.85,Sep-22,11.36666667,10375
1719,OK,9,2022,2996,2697,156,23S,0.93,Sep-22,10.98333333,3655
1720,OR,9,2022,4206,3593,323,28S,0.87,Sep-22,16.4,3365
1721,PA,9,2022,6281,5283,518,28S,0.86,Sep-22,11.98333333,11063
1722,RI,9,2022,482,473,3,5S,0.99,Sep-22,9.483333333,753
1723,SC,9,2022,3742,2488,410,22S,0.69,Sep-22,11.63333333,4764
1724,SD,9,2022,532,479,21,16S,0.93,Sep-22,16.85,700
1725,TN,9,2022,3866,3108,353,25S,0.88,Sep-22,9.283333333,6624
1726,TX,9,2022,15276,8578,1195,23S,0.58,Sep-22,12.66666667,18200
1727,UT,9,2022,2826,2265,168,17S,0.83,Sep-22,15,1683
1728,VA,9,2022,6679,5804,541,24S,0.91,Sep-22,11.4,6400
1729,VT,9,2022,562,471,18,16S,0.89,Sep-22,13.81666667,504
1730,WA,9,2022,6246,5383,402,23S,0.89,Sep-22,12.25,5364
1731,WI,9,2022,6076,4554,463,24S,0.77,Sep-22,14.46666667,4629
1732,WV,9,2022,935,791,72,20S,0.88,Sep-22,17.83333333,2043
1733,WY,9,2022,444,386,34,13S,0.88,Sep-22,9.583333333,462
1734,AK,9,2023,1150,720,114,23S,0.63,Sep-23,13.71666667,476
1735,AL,9,2023,2697,1858,435,31S,0.69,Sep-23,12.36666667,4658
1736,AR,9,2023,1537,1051,259,24S,0.68,Sep-23,14.13333333,2910
1737,AZ,9,2023,7472,6652,672,19S,0.89,Sep-23,11.06666667,5252
1738,CA,9,2023,31017,27404,3377,31S,0.88,Sep-23,12.81666667,22820
1739,CO,9,2023,7762,6721,730,13S,0.87,Sep-23,14.7,3629
1740,CT,9,2023,3761,3314,325,15S,0.88,Sep-23,10.51666667,2605
1741,DC,9,2023,989,684,155,31S,0.69,Sep-23,9.466666667,412
1742,DE,9,2023,450,342,34,20S,0.76,Sep-23,9.483333333,812
1743,FL,9,2023,12090,8905,2001,36S,0.74,Sep-23,15.7,18443
1744,GA,9,2023,6713,5766,808,22S,0.86,Sep-23,11.08333333,7650
1745,HI,9,2023,2061,1860,179,13S,0.9,Sep-23,6.483333333,968
1746,IA,9,2023,2038,1707,294,36S,0.84,Sep-23,14.05,2541
1747,ID,9,2023,1277,1064,111,24S,0.83,Sep-23,16.25,1293
1748,IL,9,2023,13057,10365,1437,30S,0.79,Sep-23,20.65,9023
1749,IN,9,2023,4333,3845,382,21S,0.89,Sep-23,18.05,5620
1750,KS,9,2023,1953,1720,204,22S,0.88,Sep-23,13.98333333,2366
1751,KY,9,2023,2461,1965,334,18S,0.8,Sep-23,14.83333333,4120
1752,LA,9,2023,2838,2460,347,26S,0.87,Sep-23,15.13333333,4000
1753,MA,9,2023,6281,5369,826,32S,0.85,Sep-23,9.633333333,4811
1754,MD,9,2023,5361,4661,655,28S,0.87,Sep-23,14.76666667,4254
1755,ME,9,2023,835,711,85,22S,0.85,Sep-23,9.983333333,1306
1756,MI,9,2023,8052,6980,883,21S,0.87,Sep-23,11.5,8129
1757,MN,9,2023,4057,3614,329,20S,0.89,Sep-23,14,3902
1758,MO,9,2023,5425,5059,325,14S,0.93,Sep-23,13.03333333,5237
1759,MS,9,2023,1262,1223,34,1S,0.97,Sep-23,8.25,2853
1760,MT,9,2023,770,739,30,8S,0.96,Sep-23,13.36666667,893
1761,NC,9,2023,6373,5445,705,17S,0.85,Sep-23,13.36666667,8718
1762,ND,9,2023,593,511,30,10S,0.86,Sep-23,9.616666667,529
1763,NE,9,2023,1754,1531,111,20S,0.87,Sep-23,17.7,1416
1764,NH,9,2023,1018,863,79,24S,0.85,Sep-23,12.85,1132
1765,NJ,9,2023,5907,4734,784,28S,0.8,Sep-23,13.96666667,5836
1766,NM,9,2023,2661,2374,188,15S,0.89,Sep-23,14.38333333,1697
1767,NV,9,2023,3360,2268,434,25S,0.68,Sep-23,19.43333333,2241
1768,NY,9,2023,28557,24638,2433,26S,0.86,Sep-23,16.65,12622
1769,OH,9,2023,7105,6265,805,27S,0.88,Sep-23,14.08333333,10192
1770,OK,9,2023,4453,4024,363,20S,0.9,Sep-23,11.7,3487
1771,OR,9,2023,4829,4164,417,27S,0.86,Sep-23,14.63333333,3432
1772,PA,9,2023,7482,6413,858,24S,0.86,Sep-23,12.35,10667
1773,RI,9,2023,672,662,6,1S,0.99,Sep-23,13.65,837
1774,SC,9,2023,3564,2568,412,32S,0.72,Sep-23,15.78333333,4684
1775,SD,9,2023,913,751,78,13S,0.82,Sep-23,15.68333333,678
1776,TN,9,2023,3785,3316,450,24S,0.88,Sep-23,11.31666667,6524
1777,TX,9,2023,15034,12911,1875,29S,0.86,Sep-23,15.46666667,18269
1778,UT,9,2023,2861,2542,186,14S,0.89,Sep-23,15.06666667,1726
1779,VA,9,2023,5941,5343,574,25S,0.9,Sep-23,12.1,6148
1780,VT,9,2023,743,593,53,15S,0.8,Sep-23,18.81666667,546
1781,WA,9,2023,6894,6199,518,22S,0.9,Sep-23,11.65,5303
1782,WI,9,2023,6899,5143,689,25S,0.75,Sep-23,15.3,4499
1783,WV,9,2023,1348,1204,93,16S,0.89,Sep-23,18.48333333,1879
1784,WY,9,2023,507,478,13,6S,0.94,Sep-23,17,433
