statename,month,year,routed,answered_in_state,abandoned_in_state,asa_in_state,in_state_answer_rate,month_year,AvgTalkTime
MN,11,2021,2755,1312,717,35S,0.48,Nov 2021,15.1
MO,11,2021,2915,2300,521,39S,0.79,Nov 2021,14.1833333333333
MS,11,2021,1000,909,66,18S,0.91,Nov 2021,7.78333333333333
MT,11,2021,631,608,23,12S,0.96,Nov 2021,11.5833333333333
NC,11,2021,4310,3918,319,21S,0.91,Nov 2021,8.13333333333333
ND,11,2021,416,368,31,16S,0.88,Nov 2021,11.1833333333333
NE,11,2021,923,765,122,31S,0.83,Nov 2021,13.25
NH,11,2021,562,442,54,20S,0.79,Nov 2021,11.4666666666667
NJ,11,2021,3600,2802,609,42S,0.78,Nov 2021,14.3
NM,11,2021,1377,953,341,1M 2S,0.69,Nov 2021,17.4166666666667
NV,11,2021,1655,1295,290,40S,0.78,Nov 2021,15.1166666666667
NY,11,2021,11636,7234,2089,33S,0.62,Nov 2021,16.0833333333333
OH,11,2021,5159,3020,666,20S,0.59,Nov 2021,11.1833333333333
OK,11,2021,1692,1212,382,45S,0.72,Nov 2021,14.5166666666667
OR,11,2021,3340,2498,526,36S,0.75,Nov 2021,17.8666666666667
PA,11,2021,4603,3900,618,32S,0.85,Nov 2021,12.7
RI,11,2021,337,334,3,7S,0.99,Nov 2021,7.81666666666667
SC,11,2021,2387,1770,500,27S,0.74,Nov 2021,15.8
SD,11,2021,331,291,33,25S,0.88,Nov 2021,18.15
TN,11,2021,2718,2257,455,24S,0.83,Nov 2021,9.48333333333333
TX,11,2021,12336,4776,2476,24S,0.39,Nov 2021,13.8333333333333
UT,11,2021,2174,1465,403,25S,0.67,Nov 2021,17.25
VA,11,2021,4294,3160,977,1M 2S,0.74,Nov 2021,11.3833333333333
VT,11,2021,335,281,22,21S,0.84,Nov 2021,18.0166666666667
WA,11,2021,4431,3261,812,32S,0.74,Nov 2021,11.3
WI,11,2021,3336,2759,398,22S,0.83,Nov 2021,16.4666666666667
WV,11,2021,758,673,85,26S,0.89,Nov 2021,14.9
WY,11,2021,218,117,33,15S,0.54,Nov 2021,15.7666666666667
AK,11,2022,776,581,86,18S,0.75,Nov 2022,14.3666666666667
AL,11,2022,2380,1478,458,36S,0.62,Nov 2022,13.0666666666667
AR,11,2022,1383,1085,169,21S,0.78,Nov 2022,11.9833333333333
AZ,11,2022,5026,4222,708,18S,0.84,Nov 2022,11.4333333333333
CA,11,2022,24680,21755,2850,35S,0.88,Nov 2022,12.5333333333333
CO,11,2022,4526,3188,531,25S,0.7,Nov 2022,14.95
CT,11,2022,2440,2269,120,14S,0.93,Nov 2022,10.2333333333333
DC,11,2022,785,718,42,10S,0.91,Nov 2022,8.21666666666667
DE,11,2022,365,272,35,19S,0.75,Nov 2022,8.75
FL,11,2022,9673,6093,1753,40S,0.63,Nov 2022,14.5166666666667
GA,11,2022,6051,4992,606,17S,0.82,Nov 2022,11.2166666666667
HI,11,2022,1162,1111,42,10S,0.96,Nov 2022,8.6
IA,11,2022,1728,1597,110,14S,0.92,Nov 2022,9.7
ID,11,2022,1257,931,123,25S,0.74,Nov 2022,14.4333333333333
IL,11,2022,10767,8686,989,31S,0.81,Nov 2022,19.8333333333333
IN,11,2022,3522,3273,205,16S,0.93,Nov 2022,16.4333333333333
KS,11,2022,1603,1418,144,19S,0.88,Nov 2022,15.3833333333333
KY,11,2022,2269,1707,285,27S,0.75,Nov 2022,14.9166666666667
LA,11,2022,2256,1942,292,26S,0.86,Nov 2022,14.5666666666667
MA,11,2022,5401,4753,586,33S,0.88,Nov 2022,10.1166666666667
MD,11,2022,4128,3665,422,31S,0.89,Nov 2022,12.25
ME,11,2022,667,565,55,24S,0.85,Nov 2022,11.2166666666667
MI,11,2022,5991,5143,582,25S,0.86,Nov 2022,11.3333333333333
MN,11,2022,3518,3016,389,34S,0.86,Nov 2022,13.05
MO,11,2022,3844,3463,367,23S,0.9,Nov 2022,14.6166666666667
MS,11,2022,1145,1107,17,2S,0.97,Nov 2022,8.4
MT,11,2022,759,739,19,8S,0.97,Nov 2022,11.0666666666667
NC,11,2022,5295,4129,525,19S,0.78,Nov 2022,10.5
ND,11,2022,425,384,19,11S,0.9,Nov 2022,10.5166666666667
NE,11,2022,1390,1203,121,23S,0.87,Nov 2022,14.9666666666667
NH,11,2022,945,807,137,40S,0.85,Nov 2022,16.8666666666667
NJ,11,2022,4575,3605,558,28S,0.79,Nov 2022,13.2
NM,11,2022,1963,1609,209,27S,0.82,Nov 2022,16.4833333333333
NV,11,2022,2308,1664,309,23S,0.72,Nov 2022,18.3166666666667
NY,11,2022,14634,11487,1661,27S,0.78,Nov 2022,13.5166666666667
OH,11,2022,6495,5928,438,15S,0.91,Nov 2022,12.1833333333333
OK,11,2022,2801,2543,227,22S,0.91,Nov 2022,10.6833333333333
OR,11,2022,3783,3336,258,26S,0.88,Nov 2022,17.6333333333333
PA,11,2022,5470,4473,609,25S,0.82,Nov 2022,11.6833333333333
RI,11,2022,517,491,8,2S,0.95,Nov 2022,14.5666666666667
SC,11,2022,2721,1685,445,21S,0.62,Nov 2022,15.3833333333333
SD,11,2022,513,454,38,13S,0.88,Nov 2022,18.2333333333333
TN,11,2022,3270,2754,480,26S,0.84,Nov 2022,10.5
TX,11,2022,13759,8716,1296,20S,0.63,Nov 2022,13.1833333333333
UT,11,2022,2644,2275,176,15S,0.86,Nov 2022,16.4166666666667
VA,11,2022,5383,4913,448,19S,0.91,Nov 2022,12.7333333333333
VT,11,2022,614,465,47,18S,0.76,Nov 2022,15.1666666666667
WA,11,2022,5593,4903,448,22S,0.88,Nov 2022,12.45
WI,11,2022,5524,4421,498,22S,0.8,Nov 2022,14.15
WV,11,2022,995,847,63,16S,0.85,Nov 2022,19.4666666666667
WY,11,2022,345,279,28,8S,0.81,Nov 2022,14.6166666666667
AK,11,2023,868,571,112,23S,0.66,Nov 2023,16.25
AL,11,2023,2542,1590,436,35S,0.63,Nov 2023,12.7666666666667
AR,11,2023,1687,884,226,21S,0.52,Nov 2023,14.1333333333333
AZ,11,2023,6675,5963,538,20S,0.89,Nov 2023,11.85
CA,11,2023,29060,24994,3761,38S,0.86,Nov 2023,12.5666666666667
CO,11,2023,8130,6966,805,15S,0.86,Nov 2023,14.2666666666667
CT,11,2023,3759,3349,300,15S,0.89,Nov 2023,11.4166666666667
DC,11,2023,842,695,92,21S,0.83,Nov 2023,10.6166666666667
DE,11,2023,374,282,33,22S,0.75,Nov 2023,8.78333333333333
FL,11,2023,11671,9038,1731,32S,0.77,Nov 2023,15.2166666666667
GA,11,2023,5743,4898,668,21S,0.85,Nov 2023,11.7166666666667
HI,11,2023,1668,1232,257,20S,0.74,Nov 2023,9.55
IA,11,2023,2083,1790,274,35S,0.86,Nov 2023,12.8666666666667
ID,11,2023,1261,1035,130,22S,0.82,Nov 2023,17.5666666666667
IL,11,2023,13139,10354,1382,32S,0.79,Nov 2023,22.1166666666667
IN,11,2023,4495,4114,317,19S,0.92,Nov 2023,18.4
KS,11,2023,2022,1793,201,20S,0.89,Nov 2023,13.3833333333333
KY,11,2023,2805,2291,397,22S,0.82,Nov 2023,13.7833333333333
LA,11,2023,2674,2319,342,21S,0.87,Nov 2023,15.2333333333333
MA,11,2023,5803,5139,618,30S,0.89,Nov 2023,9.31666666666667
MD,11,2023,4849,4364,458,26S,0.9,Nov 2023,14.9
ME,11,2023,1341,1246,66,16S,0.93,Nov 2023,7.63333333333333
MI,11,2023,7267,6492,695,17S,0.89,Nov 2023,12.3166666666667
MN,11,2023,3964,3522,352,20S,0.89,Nov 2023,14.3
MO,11,2023,5523,5207,292,15S,0.94,Nov 2023,13.2666666666667
MS,11,2023,1138,1111,23,1S,0.98,Nov 2023,8.18333333333333
MT,11,2023,862,828,31,8S,0.96,Nov 2023,12.2333333333333
NC,11,2023,5916,5078,652,18S,0.86,Nov 2023,12.2333333333333
ND,11,2023,637,561,30,10S,0.88,Nov 2023,10.3166666666667
NE,11,2023,1847,1664,113,20S,0.9,Nov 2023,16.4
NH,11,2023,1042,830,118,25S,0.8,Nov 2023,12.1833333333333
NJ,11,2023,6049,4702,835,28S,0.78,Nov 2023,14.25
NM,11,2023,2552,2171,243,18S,0.85,Nov 2023,12.8333333333333
NV,11,2023,3303,2445,392,22S,0.74,Nov 2023,16.0333333333333
NY,11,2023,28682,25515,2512,33S,0.89,Nov 2023,15.4
OH,11,2023,7071,6388,656,24S,0.9,Nov 2023,13.7833333333333
OK,11,2023,4391,3983,361,20S,0.91,Nov 2023,11.3166666666667
OR,11,2023,4577,3495,526,29S,0.76,Nov 2023,15.7666666666667
PA,11,2023,7259,6450,700,22S,0.89,Nov 2023,12.5
RI,11,2023,591,571,10,1S,0.97,Nov 2023,13.7166666666667
SC,11,2023,3050,2215,393,29S,0.73,Nov 2023,17.05
SD,11,2023,840,721,55,12S,0.86,Nov 2023,15.05
TN,11,2023,3909,3417,477,24S,0.87,Nov 2023,12.2333333333333
TX,11,2023,14837,12654,1902,31S,0.85,Nov 2023,14.1
UT,11,2023,2823,2551,154,13S,0.9,Nov 2023,15.5333333333333
VA,11,2023,6236,5601,610,25S,0.9,Nov 2023,12.2
VT,11,2023,813,708,46,13S,0.87,Nov 2023,18.4666666666667
WA,11,2023,6377,5678,498,21S,0.89,Nov 2023,12.4666666666667
WI,11,2023,6588,4900,698,28S,0.74,Nov 2023,16.1833333333333
WV,11,2023,1271,1136,91,16S,0.89,Nov 2023,19.4833333333333
WY,11,2023,492,468,12,7S,0.95,Nov 2023,15.6333333333333
AK,10,2021,618,306,211,27S,0.5,Oct 2021,13.2333333333333
AL,10,2021,2520,1649,701,50S,0.65,Oct 2021,10.7
AR,10,2021,1416,1049,293,32S,0.74,Oct 2021,12
